method,sample_idx,resolved,validator_ok,proximity,sparsity,nn_distance,tier
3-tier RCA,61,True,False,0.3577742557271013,5.0,0.5718126983220533,1
3-tier RCA,62,True,False,0.17888740612858625,5.0,1.0097852077233809,1
3-tier RCA,64,True,False,0.7715319474097477,5.0,0.7879603154660516,1
3-tier RCA,65,True,False,0.9494412179511419,5.0,0.9953119754941464,1
3-tier RCA,67,True,False,0.8533619656667594,5.0,0.924948913513134,1
3-tier RCA,69,True,False,0.9608520028094241,5.0,0.9486226779441573,1
3-tier RCA,71,True,False,0.24476169901224665,5.0,0.649494172334503,1
3-tier RCA,72,True,False,0.24120457984685612,5.0,0.7006351798174835,1
3-tier RCA,75,True,True,0.26990199347200905,5.0,0.6603446609785033,1
3-tier RCA,77,True,False,0.8909824077887915,5.0,0.9448129219480733,1
3-tier RCA,80,True,False,0.39999999999998986,4.0,0.6655553603198737,1
3-tier RCA,84,True,False,0.9352938435597039,5.0,1.1475095085209912,1
3-tier RCA,85,True,True,0.35776392696375653,5.0,0.4968269313660716,1
3-tier RCA,87,True,False,0.7715319474097508,5.0,0.8373726828196018,1
3-tier RCA,90,True,False,0.8533619656667595,5.0,0.9424448064652037,1
3-tier RCA,91,True,True,0.2235931938810978,5.0,0.2721585901667143,1
3-tier RCA,93,True,False,0.17071872769318322,5.0,0.741750812520211,1
3-tier RCA,94,True,False,0.35777481225716756,5.0,0.732006925091915,1
3-tier RCA,96,True,False,0.2683261903244597,5.0,0.5177861920285938,1
3-tier RCA,97,True,False,0.2683256540090499,5.0,0.9721858353709623,1
3-tier RCA,99,True,False,0.28000304233738826,4.0,0.41478464213373056,1
3-tier RCA,100,True,False,0.58137013003266,5.0,1.0075115249949762,1
3-tier RCA,102,True,True,0.08944966988611286,5.0,0.2047942807136406,1
3-tier RCA,105,True,True,0.26833163224308676,5.0,0.7074539715891622,1
3-tier RCA,106,True,False,0.40050982712067973,5.0,0.540744850077279,1
3-tier RCA,107,True,False,0.9287727939534228,5.0,1.0363932970077896,1
3-tier RCA,109,True,False,0.2683261903244607,5.0,1.0719504960850523,1
3-tier RCA,111,True,False,0.966751263498539,5.0,1.0693784116274576,1
3-tier RCA,112,True,False,0.5216311212838348,5.0,1.0586579641910046,1
3-tier RCA,113,True,False,0.3599908734836972,4.0,0.46466546310026396,1
3-tier RCA,118,True,False,0.8677956760285025,5.0,0.8571594133819872,1
3-tier RCA,121,True,False,0.24346144786640886,5.0,1.2336672265938915,1
3-tier RCA,122,True,False,0.2683312193053547,5.0,1.4902884468981983,1
3-tier RCA,124,True,False,0.268326190324464,5.0,0.764452846598691,1
3-tier RCA,127,True,False,0.8604547143570581,5.0,0.8560998665977798,1
3-tier RCA,130,True,False,0.35999087348370784,4.0,0.6209742734729793,1
3-tier RCA,131,True,True,0.26832619032447336,5.0,0.26109200073784355,1
3-tier RCA,132,True,False,0.8233854351781963,5.0,0.8301064736356865,1
3-tier RCA,133,True,False,0.32436038291135433,5.0,0.6100295684828562,1
3-tier RCA,134,True,False,0.3130564668647492,5.0,1.1562169208596507,1
3-tier RCA,136,True,True,0.2683316322430869,5.0,0.4351621578344859,1
3-tier RCA,137,True,False,0.897777991488855,5.0,0.9092804703766981,1
3-tier RCA,139,True,False,0.3577748891464442,5.0,0.7068630704993121,1
3-tier RCA,141,True,False,0.890982407788788,5.0,0.94254379811305,1
3-tier RCA,142,True,False,0.77886647125616,5.0,0.8338828917266123,1
3-tier RCA,143,True,False,0.160975060938862,5.0,0.3332163590842508,1
3-tier RCA,145,True,False,0.5366526239625393,5.0,0.8330004685144855,1
3-tier RCA,146,True,False,0.867941370895202,5.0,0.8905745941255788,1
3-tier RCA,150,True,True,0.49194582929659764,5.0,0.7483947536489707,1
3-tier RCA,151,True,False,0.2857724911720204,5.0,0.5611363379190605,1
3-tier RCA,152,True,False,0.39999999999999364,4.0,0.4569601328169467,1
3-tier RCA,153,False,True,,,,0
3-tier RCA,154,True,True,0.26833163224308776,5.0,0.6859202575145498,1
3-tier RCA,156,True,False,0.4919464226174701,5.0,1.1221364472397009,1
3-tier RCA,157,False,True,,,,0
3-tier RCA,158,True,False,0.846673024415861,5.0,0.837306335959993,1
3-tier RCA,159,True,False,0.3225527481360079,5.0,0.673166104125591,1
3-tier RCA,160,True,False,0.7055663180759835,5.0,0.7830132870109175,1
3-tier RCA,161,True,False,0.8159705287882265,5.0,0.9040994770954123,1
3-tier RCA,162,True,False,0.3577754119642849,5.0,0.7479121299716446,1
3-tier RCA,167,True,False,1.198919444754813,5.0,1.151295870827572,1
3-tier RCA,168,True,False,0.8604547143570576,5.0,0.8630134424064448,1
3-tier RCA,169,True,False,0.22362040493022223,5.0,0.6880297255558918,1
3-tier RCA,170,True,False,0.8909824077887883,5.0,1.5422990105449583,1
3-tier RCA,171,True,True,0.26833147803367546,5.0,0.7169955137517726,1
3-tier RCA,172,True,False,0.32255274813600987,5.0,0.8223470260255129,1
3-tier RCA,173,True,False,0.2683316322430877,5.0,0.8881527484618611,1
3-tier RCA,176,True,False,0.9570512044168666,5.0,0.926240293418771,1
3-tier RCA,178,True,True,0.26832619032446525,5.0,0.668510608599129,1
3-tier RCA,179,True,False,0.5366523806489117,5.0,0.6161859746285,1
3-tier RCA,180,True,False,0.8679413708952022,5.0,0.9228643925473808,1
3-tier RCA,181,True,False,0.8394245246315943,5.0,0.8206760676028731,1
3-tier RCA,182,True,False,0.26832565400905145,5.0,0.8402159513453952,1
3-tier RCA,188,True,False,0.5813702120039504,5.0,1.329981050497212,1
3-tier RCA,192,True,False,0.8758118336738488,5.0,1.0154427224150344,1
3-tier RCA,193,True,False,0.5366523806489233,5.0,1.239863067292572,1
3-tier RCA,194,True,False,0.7948135371971398,5.0,0.9253497012826485,1
3-tier RCA,197,True,False,0.8312060410726997,5.0,0.900680155695026,1
3-tier RCA,199,True,False,0.3577753571337507,5.0,0.8900818990853845,1
3-tier RCA,207,True,True,0.49193842995215975,5.0,0.8954511952791864,1
3-tier RCA,208,True,False,0.9866316564986823,5.0,0.9550710414062165,1
3-tier RCA,211,True,False,1.1989188089961462,5.0,1.4672646212831741,1
3-tier RCA,214,True,False,0.26833208625650207,5.0,1.0538547750702214,1
3-tier RCA,215,True,False,0.32001216984534914,4.0,0.4089946898248359,1
3-tier RCA,216,True,False,0.3599915557707706,4.0,0.6620902097624203,1
3-tier RCA,220,True,False,0.9287727939534216,5.0,0.9215184469825581,1
3-tier RCA,221,True,False,0.3200121698453388,4.0,0.5149493713632082,1
3-tier RCA,229,True,False,0.2683310873714233,5.0,1.0332695200589486,1
3-tier RCA,231,True,False,0.5813702088525587,5.0,1.4007650089428287,1
3-tier RCA,232,True,False,0.49194659348021136,5.0,1.0790931317328134,1
3-tier RCA,234,False,True,,,,0
3-tier RCA,236,True,True,0.2683261903244621,5.0,0.7411533194812236,1
3-tier RCA,239,True,False,0.5813686137482386,5.0,0.531833082354227,1
3-tier RCA,240,True,False,0.9352938435597076,5.0,0.9843053329767865,1
3-tier RCA,241,True,False,0.8312060410726961,5.0,0.8559104981821026,1
3-tier RCA,246,True,False,0.26832619032446364,5.0,0.7546725117472435,1
3-tier RCA,247,True,False,0.26833232790327505,5.0,1.085102410001907,1
3-tier RCA,249,True,False,0.49194720370619716,5.0,0.594147054999535,1
3-tier RCA,250,True,False,1.354336304528833,5.0,1.5758863775108363,1
3-tier RCA,257,True,True,0.26832619032446653,5.0,0.8202618050017155,1
3-tier RCA,258,True,False,0.28073019657724246,5.0,0.43244683923709476,1
3-tier RCA,259,True,False,0.8533619656667597,5.0,0.8669058026756018,1
3-tier RCA,260,True,False,0.26832591751256285,5.0,1.0098234935276618,1
3-tier RCA,261,True,False,0.32111076084642215,5.0,0.5289263710224865,1
3-tier RCA,263,True,False,0.6708073985295966,5.0,0.7467999618470138,1
3-tier RCA,265,True,False,0.8679413708952055,5.0,0.9481093297515253,1
3-tier RCA,266,True,False,0.9125065634469498,5.0,0.9017791837338994,1
3-tier RCA,271,True,False,0.28290314632249064,5.0,0.4099606151002394,1
3-tier RCA,273,True,True,0.2683261903244629,5.0,0.8206918531822902,1
3-tier RCA,276,True,False,1.2097622084229327,5.0,1.3268750008816064,1
3-tier RCA,277,True,True,0.447213595499956,5.0,0.5926313944907499,1
3-tier RCA,278,True,False,0.49194720370621287,5.0,0.7598025458303378,1
3-tier RCA,280,True,False,0.268326222880486,5.0,0.4317145471943957,1
3-tier RCA,281,True,False,0.313057077092514,5.0,0.3076020571374219,1
3-tier RCA,283,True,False,0.5813678228642838,5.0,1.231928030741944,1
3-tier RCA,285,True,False,0.3577639269637403,5.0,0.9289017629327397,1
3-tier RCA,286,True,False,0.7582027354515634,5.0,0.7629360446274941,1
3-tier RCA,288,True,False,0.8159705287882295,5.0,0.817218140359436,1
3-tier RCA,289,True,False,0.7914733130868438,5.0,0.9086509489691625,1
Greedy,0,True,False,0.9715966241192776,12.0,0.8024671955080925,1
Greedy,2,True,False,0.9457231404282144,12.0,0.8945663937806015,1
Greedy,7,True,False,1.0113259416419282,13.0,0.825736432192512,1
Greedy,9,True,False,1.1294158007904531,13.0,0.8506200594606363,1
Greedy,11,True,False,0.3181110913779535,13.0,0.9556743416430442,1
Greedy,12,True,False,0.20099092205373692,13.0,0.2539640732945146,1
Greedy,13,True,False,0.07212121388540148,13.0,0.24624163086192732,1
Greedy,15,True,False,1.1504694915881613,13.0,0.8667957302055151,1
Greedy,16,True,False,0.4476646022662926,13.0,0.5454280715071171,1
Greedy,18,True,False,0.47664673185527706,11.0,0.5165225940600177,1
Greedy,19,True,False,0.5895805094855641,13.0,0.5529401335182755,1
Greedy,24,True,False,0.8287251673554151,13.0,0.6366070887491536,1
Greedy,26,True,False,0.6584722198234864,12.0,0.5948627181677749,1
Greedy,30,True,False,1.0174439829009752,12.0,0.8308153404958682,1
Greedy,34,True,False,0.8634813257969176,11.0,0.7987574009916304,1
Greedy,35,True,False,1.0529977318998165,11.0,0.8731447524925172,1
Greedy,37,True,False,0.3794755710961108,12.0,0.37503116435199685,1
Greedy,38,True,False,0.49516733174999705,13.0,0.5742789106416432,1
Greedy,40,True,False,0.8344940245074262,13.0,0.7810071261434945,1
Greedy,41,True,False,0.2712985131216612,13.0,0.5387144201285639,1
Greedy,42,True,True,0.07211786715778379,13.0,0.15721841328353553,1
Greedy,45,True,False,0.9149783620437447,13.0,0.7115256728616547,1
Greedy,46,True,False,0.3280119363414676,13.0,0.8051711349574008,1
Greedy,49,True,False,0.7536626960709645,12.0,0.6846399555244568,1
Greedy,51,True,False,0.7453814919704059,13.0,0.6413414912195603,1
Greedy,53,True,False,0.6170936225571761,12.0,0.5910755907864677,1
Greedy,56,True,False,0.7019907444858224,12.0,0.8772195982678516,1
Greedy,57,True,False,0.5585765738456249,12.0,0.5362261250521508,1
Greedy,61,True,False,0.3773566592267678,11.0,0.4606257561636203,1
Greedy,62,True,False,0.280001257267556,13.0,0.8091202695821798,1
Greedy,64,True,False,1.0055865071619485,10.0,0.8837409504522752,1
Greedy,65,True,False,1.0939800082000546,12.0,0.8654931178681728,1
Greedy,67,True,False,0.9431819858019992,10.0,0.8439383104407532,1
Greedy,69,True,False,0.9541510485170398,12.0,0.8712597917081256,1
Greedy,71,True,False,0.74753047843463,13.0,0.4923691453421451,1
Greedy,72,True,False,0.7389183811086919,13.0,0.5751321188017318,1
Greedy,75,True,True,0.19398366921289464,13.0,0.5397920065820512,1
Greedy,77,True,False,0.8588364221433459,11.0,0.7984647628145933,1
Greedy,80,True,False,0.783061487908457,13.0,0.481945694257031,1
Greedy,84,True,False,1.056210230529451,13.0,0.8963045251659727,1
Greedy,85,True,True,0.2592275280123991,12.0,0.3108217552217699,1
Greedy,87,True,False,1.113742252835483,13.0,0.8171804127909057,1
Greedy,90,True,False,0.8991228586316183,13.0,0.8167099680405485,1
Greedy,91,True,True,0.30265654918304136,13.0,0.2446327396883527,1
Greedy,93,True,False,0.0721120297467623,13.0,0.6082541588286485,1
Greedy,94,True,False,0.491534281290333,12.0,0.5053775999750942,1
Greedy,96,True,False,0.3622122496136846,12.0,0.3953907030475845,1
Greedy,97,True,False,0.4440800644709541,13.0,0.7464811692757087,1
Greedy,99,True,False,0.46303651722692324,12.0,0.5831371028463401,1
Greedy,100,True,False,0.7475291023511982,13.0,0.5385123313894683,1
Greedy,102,True,True,0.13856152774451747,12.0,0.2074719615386151,1
Greedy,105,True,True,0.27129907971649436,13.0,0.5792439680455308,1
Greedy,106,True,False,0.7155469652293623,10.0,0.6874832050944556,1
Greedy,107,True,False,1.0213716267842856,13.0,0.9249304287550336,1
Greedy,109,True,False,0.6235395666171836,10.0,0.6358428248505681,1
Greedy,111,True,False,1.0316880149725172,13.0,0.9222262456605443,1
Greedy,112,True,False,0.6597011830068503,12.0,0.7248974106032003,1
Greedy,113,True,False,0.5656854249492385,10.0,0.5599500786670448,1
Greedy,118,True,False,1.1036214339169073,13.0,0.8375544551002669,1
Greedy,121,True,False,0.31811022969996383,13.0,1.0867435449222789,1
Greedy,122,True,False,0.8170715824165793,13.0,0.915848193338653,1
Greedy,124,True,False,0.43680979600609304,13.0,0.5845806959125261,1
Greedy,127,True,False,1.0461320463217803,12.0,0.8229715989042183,1
Greedy,130,True,False,0.7686310413552664,13.0,0.6533890236933366,1
Greedy,131,True,False,0.3944601517800407,13.0,0.3135575108607465,1
Greedy,132,True,False,0.8863443662597351,13.0,0.7765240166749118,1
Greedy,133,True,False,0.6462205250997741,13.0,0.389634227480658,1
Greedy,134,True,False,0.2009965001788137,13.0,0.9345320530226546,1
Greedy,136,True,True,0.32311987086084654,13.0,0.3386780754632319,1
Greedy,137,True,False,0.899099577952898,13.0,0.8817712314083346,1
Greedy,139,True,False,0.2807086703770104,13.0,0.5168133518169507,1
Greedy,141,True,False,0.9408622671523326,13.0,0.8243103345233489,1
Greedy,142,True,False,1.0476640682966998,12.0,0.8030652781403257,1
Greedy,143,True,False,0.20099351092067128,13.0,0.30639251608573187,1
Greedy,145,True,False,0.5768831446617215,11.0,0.558589098448841,1
Greedy,146,True,False,0.9423375191511701,12.0,0.8322378108403458,1
Greedy,150,True,True,0.2683324381293429,12.0,0.6044596426909447,1
Greedy,151,True,False,0.3984870830498645,13.0,0.4400025586328734,1
Greedy,152,True,False,0.8150984008132129,13.0,0.7359765188898232,1
Greedy,153,False,True,,,,0
Greedy,154,True,True,0.36221535285591183,12.0,0.5430290669868865,1
Greedy,156,True,False,0.7871552788960053,13.0,0.7981799986955084,1
Greedy,157,False,True,,,,0
Greedy,158,True,False,1.1860775906639174,13.0,0.8530631694143592,1
Greedy,159,True,False,0.6490065098174113,13.0,0.4749705273713592,1
Greedy,160,True,False,0.89555676253038,13.0,0.8244626860973563,1
Greedy,161,True,False,0.8267891369258469,13.0,0.819207416663635,1
Greedy,162,True,True,0.3555111553106485,12.0,0.5587629302854916,1
Greedy,167,True,True,0.2683353280010482,12.0,0.6596817847350134,1
Greedy,168,True,False,0.7952234132233281,13.0,0.7872454029045148,1
Greedy,169,True,False,0.25298851882055295,13.0,0.5484113124287101,1
Greedy,170,True,False,1.093425882370608,13.0,1.1649057650352908,1
Greedy,171,True,True,0.32803063484348116,13.0,0.6240265786535951,1
Greedy,172,True,False,0.7310317773181662,12.0,0.6954633490788465,1
Greedy,173,True,False,0.47999941148814157,13.0,0.7441253668234852,1
Greedy,176,True,False,1.062252399497379,13.0,0.9153995626941421,1
Greedy,178,True,True,0.19287197553019356,13.0,0.5165783040312381,1
Greedy,179,True,False,0.6788174744912947,12.0,0.5084331262266323,1
Greedy,180,True,False,0.9999999999999875,9.0,0.8612492099633241,1
Greedy,181,True,False,0.9969855404045368,13.0,0.841033319381617,1
Greedy,182,True,False,0.6988581254739532,13.0,0.5497289573938572,1
Greedy,188,True,False,0.313059336373352,13.0,1.079715622238338,1
Greedy,192,True,False,1.0127191120937773,13.0,1.0238134824785496,1
Greedy,193,True,False,0.6681196082028553,12.0,0.7665321416355696,1
Greedy,194,True,False,1.1221373616190644,11.0,0.9447424876548829,1
Greedy,197,True,False,0.9583278449160301,10.0,0.8847380476497728,1
Greedy,199,True,False,0.4630437417774904,12.0,0.7854586736886973,1
Greedy,207,True,True,0.8572179136711044,13.0,0.5352288306325486,1
Greedy,208,True,False,1.0934258823706038,13.0,0.9289971763551096,1
Greedy,211,True,False,0.7828175065659083,12.0,0.7672669974264197,1
Greedy,214,True,False,0.43681265388006124,13.0,0.7077232812582332,1
Greedy,215,True,False,0.4180980753178154,13.0,0.551732764574327,1
Greedy,216,True,False,0.5727128425310548,11.0,0.4547881590616186,1
Greedy,220,True,False,0.9576952944118424,13.0,0.7638621927433941,1
Greedy,221,True,False,0.5047679530560766,13.0,0.5264974318923865,1
Greedy,229,True,False,0.6597041891036654,12.0,0.691224567750421,1
Greedy,231,True,False,0.38781338449952873,11.0,0.9488267422845649,1
Greedy,232,True,False,0.8306551926571866,13.0,0.6068018459746286,1
Greedy,234,False,True,,,,0
Greedy,236,True,True,0.2713009915236362,13.0,0.5319313807782576,1
Greedy,239,True,False,0.5786109143996139,13.0,0.4067049147227735,1
Greedy,240,True,False,0.9173833758802267,11.0,0.8610399925596471,1
Greedy,241,True,False,0.8344940245074137,13.0,0.8022185533037113,1
Greedy,246,True,False,0.5628509957730728,13.0,0.49671331920272144,1
Greedy,247,True,False,0.32311105735307033,13.0,0.83938884450406,1
Greedy,249,True,False,0.8352245207128575,12.0,0.7863260023427362,1
Greedy,250,True,False,0.9732425827238136,12.0,0.6372529008866874,1
Greedy,257,True,True,0.3836633379030124,12.0,0.5134556012251891,1
Greedy,258,True,False,0.4142536780130232,13.0,0.5325601424998732,1
Greedy,259,True,False,1.0237187113655646,13.0,0.8174683003868701,1
Greedy,260,True,False,0.3231030055307309,13.0,0.8060454041821808,1
Greedy,261,True,False,0.7410862632265929,13.0,0.40614947199699475,1
Greedy,263,True,False,0.9024446440643324,11.0,0.8389905588233383,1
Greedy,265,True,False,0.8345146850617907,13.0,0.7948170276108996,1
Greedy,266,True,False,1.0166573947704303,11.0,0.8620990849970278,1
Greedy,271,True,False,0.4064459648945735,13.0,0.560354405180939,1
Greedy,273,True,True,0.44721983280898475,12.0,0.5042169760976968,1
Greedy,276,True,False,0.9748819873635434,12.0,0.6955766543105841,1
Greedy,277,True,True,0.4454247306279854,11.0,0.42627496631012524,1
Greedy,278,True,False,0.9357244080260612,13.0,0.8022981202104225,1
Greedy,280,True,False,0.4331292796955649,13.0,0.3710638346530814,1
Greedy,281,True,False,0.07211862399024699,13.0,0.2496153174568377,1
Greedy,283,True,False,0.25923183115471554,12.0,1.1589945601389895,1
Greedy,285,True,False,0.4308141231284102,13.0,0.7081107495319968,1
Greedy,286,True,False,1.0034051598999907,13.0,0.812108234106148,1
Greedy,288,True,False,0.9033228981606742,11.0,0.8551433695933225,1
Greedy,289,True,False,0.9363793758944084,12.0,0.8561065142830934,1
